brand,region,gender,url,size,height_lower,height_upper,height_unit,weight_lower,weight_upper,weight_unit,chest_lower,chest_upper,chest_unit,waist_lower,waist_upper,waist_unit,hip_lower,hip_upper,hip_unit,inseam_lower,inseam_upper,inseam_unit
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,XXS,155,165,cm,None,None,None,78,84,cm,None,None,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,XS,155,165,cm,None,None,None,80,88,cm,66,72,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,S,165,175,cm,None,None,None,88,96,cm,68,76,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,M,175,185,cm,None,None,None,96,104,cm,76,84,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,L,175,185,cm,None,None,None,104,112,cm,84,92,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,XL,175,185,cm,None,None,None,112,120,cm,92,100,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,XXL,175,185,cm,None,None,None,120,128,cm,100,108,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,3XL,175,185,cm,None,None,None,128,136,cm,108,116,cm,None,None,cm,None,None,None
uniqlo,canada,male,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_m_20fw.jpg,4XL,None,None,None,None,None,None,None,None,cm,116,124,cm,None,None,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,XXS,155,163,cm,None,None,None,74,79,cm,56,58.5,cm,83,87,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,XS,155,163,cm,None,None,None,79,84,cm,60.5,63.5,cm,87,91,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,S,163,171,cm,None,None,None,84,89,cm,66.5,68.5,cm,91,96,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,M,163,171,cm,None,None,None,89,94,cm,71,73.5,cm,96,102,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,L,171,179,cm,None,None,None,94,99,cm,76,81,cm,102,108,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,XL,171,179,cm,None,None,None,99,104,cm,81,86,cm,108,114,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,XXL,171,179,cm,None,None,None,104,109,cm,86,91,cm,114,120,cm,None,None,None
uniqlo,canada,female,https://image.uniqlo.com/UQ/ST3/ca/imagesother/sizechart/caen2_graph_bodysize_uq_w_20fw.jpg,3XL,171,179,cm,None,None,None,109,115,cm,91,96,cm,120,126,cm,None,None,None
